Date,Close,High,Low,Open,Volume,symbol
,JITFINFRA.NS,JITFINFRA.NS,JITFINFRA.NS,JITFINFRA.NS,JITFINFRA.NS,
2017-02-27,49.25,52.0,49.25,51.79999923706055,16358,JITFINFRA
2017-02-28,46.79999923706055,49.0,46.79999923706055,46.79999923706055,25883,JITFINFRA
2017-03-01,44.5,47.0,44.5,44.5,44854,JITFINFRA
2017-03-02,42.29999923706055,45.400001525878906,42.29999923706055,42.29999923706055,67642,JITFINFRA
2017-03-03,40.20000076293945,43.45000076293945,40.20000076293945,40.349998474121094,151189,JITFINFRA
2017-03-06,42.20000076293945,42.20000076293945,39.0,40.20000076293945,50285,JITFINFRA
2017-03-07,44.29999923706055,44.29999923706055,44.29999923706055,44.29999923706055,2596,JITFINFRA
2017-03-08,46.5,46.5,46.5,46.5,13758,JITFINFRA
2017-03-09,48.79999923706055,48.79999923706055,48.25,48.79999923706055,38169,JITFINFRA
2017-03-10,51.20000076293945,51.20000076293945,51.20000076293945,51.20000076293945,2285,JITFINFRA
2017-03-14,53.75,53.75,52.75,53.75,36125,JITFINFRA
2017-03-15,56.400001525878906,56.400001525878906,54.0,56.400001525878906,28631,JITFINFRA
2017-03-16,59.20000076293945,59.20000076293945,57.5,57.5,27979,JITFINFRA
2017-03-17,62.150001525878906,62.150001525878906,61.599998474121094,62.150001525878906,8964,JITFINFRA
2017-03-20,65.25,65.25,64.80000305175781,64.80000305175781,3407,JITFINFRA
2017-03-21,68.5,68.5,68.5,68.5,3730,JITFINFRA
2017-03-22,71.9000015258789,71.9000015258789,70.0,71.9000015258789,20072,JITFINFRA
2017-03-23,75.44999694824219,75.44999694824219,73.0,75.44999694824219,33339,JITFINFRA
2017-03-24,79.19999694824219,79.19999694824219,79.19999694824219,79.19999694824219,1815,JITFINFRA
2017-03-27,75.80000305175781,83.1500015258789,75.25,83.1500015258789,102910,JITFINFRA
2017-03-28,72.05000305175781,78.0,72.05000305175781,78.0,64877,JITFINFRA
2017-03-29,68.5,70.0,68.44999694824219,68.55000305175781,85341,JITFINFRA
2017-03-30,71.9000015258789,71.9000015258789,65.0999984741211,65.0999984741211,20256,JITFINFRA
2017-03-31,73.9000015258789,75.44999694824219,70.0,73.9000015258789,36566,JITFINFRA
2017-04-03,70.25,75.0,70.25,75.0,9450,JITFINFRA
2017-04-05,67.44999694824219,69.75,66.75,66.75,24374,JITFINFRA
2017-04-06,66.6500015258789,67.5999984741211,65.0,66.05000305175781,21091,JITFINFRA
2017-04-07,66.05000305175781,68.0,64.19999694824219,64.19999694824219,14119,JITFINFRA
2017-04-10,62.75,66.9000015258789,62.75,63.599998474121094,16982,JITFINFRA
2017-04-11,60.29999923706055,64.94999694824219,59.650001525878906,64.94999694824219,48751,JITFINFRA
2017-04-12,63.29999923706055,63.29999923706055,59.70000076293945,62.0,9857,JITFINFRA
2017-04-13,66.44999694824219,66.44999694824219,65.5,66.19999694824219,30062,JITFINFRA
2017-04-17,63.5,67.80000305175781,63.150001525878906,67.80000305175781,18218,JITFINFRA
2017-04-18,61.29999923706055,66.3499984741211,61.0,65.0,18981,JITFINFRA
2017-04-19,60.45000076293945,63.900001525878906,59.04999923706055,63.900001525878906,12075,JITFINFRA
2017-04-20,62.599998474121094,62.79999923706055,59.79999923706055,60.5,12680,JITFINFRA
2017-04-21,60.25,63.900001525878906,59.900001525878906,61.0,23900,JITFINFRA
2017-04-24,61.599998474121094,62.0,57.5,57.5,12237,JITFINFRA
2017-04-25,64.6500015258789,64.6500015258789,60.04999923706055,61.599998474121094,81215,JITFINFRA
2017-04-26,67.8499984741211,67.8499984741211,67.5,67.5,9876,JITFINFRA
2017-04-27,69.0999984741211,71.0,65.30000305175781,70.69999694824219,33717,JITFINFRA
2017-04-28,67.9000015258789,68.30000305175781,66.19999694824219,68.0999984741211,12129,JITFINFRA
2017-05-02,68.9000015258789,69.5,65.25,65.25,27833,JITFINFRA
2017-05-03,72.30000305175781,72.30000305175781,67.5,69.94999694824219,90999,JITFINFRA
2017-05-04,71.6500015258789,74.5,69.19999694824219,72.30000305175781,30967,JITFINFRA
2017-05-05,68.3499984741211,72.0,68.3499984741211,72.0,7244,JITFINFRA
2017-05-08,66.3499984741211,69.80000305175781,66.0,68.25,8862,JITFINFRA
2017-05-09,64.5,67.0,64.19999694824219,66.0,7583,JITFINFRA
2017-05-10,63.75,66.8499984741211,63.0,65.0,15469,JITFINFRA
2017-05-11,63.650001525878906,64.0,62.0,64.0,3890,JITFINFRA
2017-05-12,63.150001525878906,63.5,62.0,63.5,17031,JITFINFRA
2017-05-15,63.95000076293945,64.0,61.900001525878906,63.150001525878906,7531,JITFINFRA
2017-05-16,61.099998474121094,63.900001525878906,60.79999923706055,62.0,19302,JITFINFRA
2017-05-17,62.0,62.25,60.0,61.0,7960,JITFINFRA
2017-05-18,61.75,63.400001525878906,60.0,61.0,5566,JITFINFRA
2017-05-19,61.04999923706055,62.0,60.0,62.0,10396,JITFINFRA
2017-05-22,58.75,60.25,58.0,59.0,9150,JITFINFRA
2017-05-23,57.599998474121094,59.0,56.20000076293945,59.0,4968,JITFINFRA
2017-05-24,54.75,58.0,54.75,58.0,14830,JITFINFRA
2017-05-25,53.900001525878906,55.0,52.04999923706055,55.0,9279,JITFINFRA
2017-05-26,56.54999923706055,56.54999923706055,53.5,54.0,7384,JITFINFRA
2017-05-29,53.75,58.95000076293945,53.75,56.0,14896,JITFINFRA
2017-05-30,54.650001525878906,55.79999923706055,51.099998474121094,51.099998474121094,48866,JITFINFRA
2017-05-31,51.95000076293945,55.099998474121094,51.95000076293945,52.29999923706055,10932,JITFINFRA
2017-06-01,52.099998474121094,53.95000076293945,50.0,50.0,6655,JITFINFRA
2017-06-02,50.54999923706055,54.0,49.5,51.0,16232,JITFINFRA
2017-06-05,48.79999923706055,50.0,48.099998474121094,50.0,8202,JITFINFRA
2017-06-06,47.95000076293945,50.75,47.04999923706055,49.0,3284,JITFINFRA
2017-06-07,47.25,48.20000076293945,45.599998474121094,47.5,22173,JITFINFRA
2017-06-08,46.099998474121094,48.5,45.54999923706055,45.54999923706055,8296,JITFINFRA
2017-06-09,46.150001525878906,47.0,44.0,47.0,9892,JITFINFRA
2017-06-12,45.0,46.0,44.349998474121094,45.650001525878906,5984,JITFINFRA
2017-06-13,45.95000076293945,47.25,43.650001525878906,43.650001525878906,11124,JITFINFRA
2017-06-14,48.20000076293945,48.20000076293945,46.0,46.5,5596,JITFINFRA
2017-06-15,50.599998474121094,50.599998474121094,50.0,50.599998474121094,3527,JITFINFRA
2017-06-16,53.099998474121094,53.099998474121094,53.0,53.0,19131,JITFINFRA
2017-06-19,51.599998474121094,53.5,51.5,53.0,3745,JITFINFRA
