symbol,year,revenue,net_profit,debt,cash_flow,roe,roce
HDFCBANK,2024,1572521000000.0,515125100000.0,6733542300000.0,0.0,0,0
HDFCBANK,2025,1806523500000.0,316513700000.0,7326106100000.0,0.0,0,0
INFY,2024,4939000000.0,804000000.0,960000000.0,0.0,0,0
INFY,2025,19846000000.0,3208000000.0,962000000.0,0.0,0,0
