symbol,sector,computed_time
ADANIPOWER,ENERGY,2026-02-19 08:12:00.874329
ATGL,ENERGY,2026-02-19 08:12:00.874329
AEGISLOG,ENERGY,2026-02-19 08:12:00.874329
BHEL,ENERGY,2026-02-19 08:12:00.874329
BPCL,ENERGY,2026-02-19 08:12:00.874329
CESC,ENERGY,2026-02-19 08:12:00.874329
CGPOWER,ENERGY,2026-02-19 08:12:00.874329
CASTROLIND,ENERGY,2026-02-19 08:12:00.874329
COALINDIA,ENERGY,2026-02-19 08:12:00.874329
GAIL,ENERGY,2026-02-19 08:12:00.874329
GVT&D,ENERGY,2026-02-19 08:12:00.874329
GUJGASLTD,ENERGY,2026-02-19 08:12:00.874329
GSPL,ENERGY,2026-02-19 08:12:00.874329
HINDPETRO,ENERGY,2026-02-19 08:12:00.874329
POWERINDIA,ENERGY,2026-02-19 08:12:00.874329
IOC,ENERGY,2026-02-19 08:12:00.874329
IGL,ENERGY,2026-02-19 08:12:00.874329
INOXWIND,ENERGY,2026-02-19 08:12:00.874329
JSWENERGY,ENERGY,2026-02-19 08:12:00.874329
JPPOWER,ENERGY,2026-02-19 08:12:00.874329
MGL,ENERGY,2026-02-19 08:12:00.874329
NHPC,ENERGY,2026-02-19 08:12:00.874329
NLCINDIA,ENERGY,2026-02-19 08:12:00.874329
NTPC,ENERGY,2026-02-19 08:12:00.874329
ONGC,ENERGY,2026-02-19 08:12:00.874329
OIL,ENERGY,2026-02-19 08:12:00.874329
PETRONET,ENERGY,2026-02-19 08:12:00.874329
POWERGRID,ENERGY,2026-02-19 08:12:00.874329
RELIANCE,ENERGY,2026-02-19 08:12:00.874329
RPOWER,ENERGY,2026-02-19 08:12:00.874329
SJVN,ENERGY,2026-02-19 08:12:00.874329
ENRIN,ENERGY,2026-02-19 08:12:00.874329
SIEMENS,ENERGY,2026-02-19 08:12:00.874329
SUZLON,ENERGY,2026-02-19 08:12:00.874329
TATAPOWER,ENERGY,2026-02-19 08:12:00.874329
THERMAX,ENERGY,2026-02-19 08:12:00.874329
TORNTPOWER,ENERGY,2026-02-19 08:12:00.874329
20MICRONS,Unknown,2026-02-19 08:12:00.874329
21STCENMGM,Unknown,2026-02-19 08:12:00.874329
360ONE,Unknown,2026-02-19 08:12:00.874329
3IINFOLTD,IT,2026-02-19 08:12:00.874329
3MINDIA,Unknown,2026-02-19 08:12:00.874329
3PLAND,Unknown,2026-02-19 08:12:00.874329
5PAISA,Unknown,2026-02-19 08:12:00.874329
63MOONS,IT,2026-02-19 08:12:00.874329
A2ZINFRA,Unknown,2026-02-19 08:12:00.874329
AADHARHFC,Finance,2026-02-19 08:12:00.874329
AAKASH,Unknown,2026-02-19 08:12:00.874329
AAREYDRUGS,Pharma,2026-02-19 08:12:00.874329
AARON,Unknown,2026-02-19 08:12:00.874329
AARTECH,IT,2026-02-19 08:12:00.874329
AARTIDRUGS,Unknown,2026-02-19 08:12:00.874329
AARTIIND,Unknown,2026-02-19 08:12:00.874329
AARTIPHARM,Pharma,2026-02-19 08:12:00.874329
AARTISURF,Unknown,2026-02-19 08:12:00.874329
AARVI,Unknown,2026-02-19 08:12:00.874329
AAVAS,Unknown,2026-02-19 08:12:00.874329
ABCAPITAL,Unknown,2026-02-19 08:12:00.874329
ABCOTS,Unknown,2026-02-19 08:12:00.874329
ABDL,Unknown,2026-02-19 08:12:00.874329
ABFRL,Unknown,2026-02-19 08:12:00.874329
ABINFRA,Unknown,2026-02-19 08:12:00.874329
ABLBL,Unknown,2026-02-19 08:12:00.874329
ABREL,Unknown,2026-02-19 08:12:00.874329
ABSLAMC,Unknown,2026-02-19 08:12:00.874329
ACC,Unknown,2026-02-19 08:12:00.874329
ACCELYA,Unknown,2026-02-19 08:12:00.874329
ACCURACY,Unknown,2026-02-19 08:12:00.874329
ACE,Unknown,2026-02-19 08:12:00.874329
ACEINTEG,Unknown,2026-02-19 08:12:00.874329
ACI,Unknown,2026-02-19 08:12:00.874329
ACL,Cement,2026-02-19 08:12:00.874329
ACMESOLAR,Unknown,2026-02-19 08:12:00.874329
ACUTAAS,Unknown,2026-02-19 08:12:00.874329
ADANIPORTS,Unknown,2026-02-19 08:12:00.874329
ADFFOODS,Unknown,2026-02-19 08:12:00.874329
ADL,Unknown,2026-02-19 08:12:00.874329
ADOR,Unknown,2026-02-19 08:12:00.874329
ADROITINFO,IT,2026-02-19 08:12:00.874329
ADSL,Unknown,2026-02-19 08:12:00.874329
ADVAIT,Energy,2026-02-19 08:12:00.874329
ADVANCE,Unknown,2026-02-19 08:12:00.874329
ADVANIHOTR,Unknown,2026-02-19 08:12:00.874329
ADVENTHTL,Unknown,2026-02-19 08:12:00.874329
ADVENZYMES,IT,2026-02-19 08:12:00.874329
AEGISVOPAK,Unknown,2026-02-19 08:12:00.874329
AEQUS,Unknown,2026-02-19 08:12:00.874329
AEROENTER,Unknown,2026-02-19 08:12:00.874329
AEROFLEX,Unknown,2026-02-19 08:12:00.874329
AERONEU,Unknown,2026-02-19 08:12:00.874329
AETHER,Unknown,2026-02-19 08:12:00.874329
AFCONS,Unknown,2026-02-19 08:12:00.874329
AFFLE,Unknown,2026-02-19 08:12:00.874329
AFFORDABLE,Automobile,2026-02-19 08:12:00.874329
AFIL,Unknown,2026-02-19 08:12:00.874329
AFSL,Unknown,2026-02-19 08:12:00.874329
AGARIND,Unknown,2026-02-19 08:12:00.874329
AGARWALEYE,Unknown,2026-02-19 08:12:00.874329
AGI,Unknown,2026-02-19 08:12:00.874329
AGIIL,Unknown,2026-02-19 08:12:00.874329
AGROPHOS,Unknown,2026-02-19 08:12:00.874329
AHCL,Unknown,2026-02-19 08:12:00.874329
AHLADA,Unknown,2026-02-19 08:12:00.874329
AHLEAST,Unknown,2026-02-19 08:12:00.874329
AHLUCONT,Unknown,2026-02-19 08:12:00.874329
AIAENG,Unknown,2026-02-19 08:12:00.874329
AIIL,Unknown,2026-02-19 08:12:00.874329
AIRAN,Unknown,2026-02-19 08:12:00.874329
AIROLAM,Unknown,2026-02-19 08:12:00.874329
AJAXENGG,Unknown,2026-02-19 08:12:00.874329
AJMERA,Unknown,2026-02-19 08:12:00.874329
AJOONI,IT,2026-02-19 08:12:00.874329
