symbol,sector,source_layer,computed_time
SAIL,METAL,NSE_INDEX,2026-02-19 08:06:42.955152
TATASTEEL,METAL,NSE_INDEX,2026-02-19 08:06:42.955152
VEDL,METAL,NSE_INDEX,2026-02-19 08:06:42.955152
WELCORP,METAL,NSE_INDEX,2026-02-19 08:06:42.955152
ANANTRAJ,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
BRIGADE,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
DLF,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
GODREJPROP,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
LODHA,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
OBEROIRLTY,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
PHOENIXLTD,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
PRESTIGE,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
SIGNATURE,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
SOBHA,REALTY,NSE_INDEX,2026-02-19 08:06:43.042890
DBCORP,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
HATHWAY,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
NAZARA,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
NETWORK18,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
PVRINOX,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
PFOCUS,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
SAREGAMA,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
SUNTV,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
TIPSMUSIC,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
ZEEL,MEDIA,NSE_INDEX,2026-02-19 08:06:43.217109
ABB,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ADANIENSOL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ADANIGREEN,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ADANIPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ATGL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
AEGISLOG,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
BHEL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
BPCL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
CESC,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
CGPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
CASTROLIND,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
COALINDIA,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
GAIL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
GVT&D,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
GUJGASLTD,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
GSPL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
HINDPETRO,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
POWERINDIA,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
IOC,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
IGL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
INOXWIND,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
JSWENERGY,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
JPPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
MGL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
NHPC,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
NLCINDIA,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
NTPC,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ONGC,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
OIL,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
PETRONET,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
POWERGRID,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
RELIANCE,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
RPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
SJVN,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
ENRIN,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
SIEMENS,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
SUZLON,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
TATAPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
THERMAX,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
TORNTPOWER,ENERGY,NSE_INDEX,2026-02-19 08:06:43.296496
