symbol,year,revenue,net_profit,debt,cash_flow,roe,computed_time
20MICRONS,2025,9116589000.0,623763000.0,1648262000.0,317862000.0,0.0,2026-02-19 09:28:41.227096
20MICRONS,2024,7759804000.0,560698000.0,1218548000.0,544434000.0,0.0,2026-02-19 09:28:41.227406
20MICRONS,2023,7007562000.0,418191000.0,1078292000.0,631967000.0,0.0,2026-02-19 09:28:41.227583
20MICRONS,2022,6114427000.0,345854000.0,1229595000.0,353205000.0,0.0,2026-02-19 09:28:41.227747
20MICRONS,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:41.227908
21STCENMGM,2025,163247000.0,123377000.0,0.0,51478000.0,0.0,2026-02-19 09:28:41.910418
21STCENMGM,2024,349546000.0,321731000.0,0.0,-27376000.0,0.0,2026-02-19 09:28:41.910690
21STCENMGM,2023,-135208000.0,-180636000.0,100000000.0,-45048000.0,0.0,2026-02-19 09:28:41.910871
21STCENMGM,2022,99744000.0,146578000.0,10000000.0,252974000.0,0.0,2026-02-19 09:28:41.911035
21STCENMGM,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:41.911196
360ONE,2025,26353100000.0,10153000000.0,110255300000.0,-24108700000.0,0.0,2026-02-19 09:28:42.587555
360ONE,2024,20061200000.0,8042100000.0,93511600000.0,-4701100000.0,0.0,2026-02-19 09:28:42.587826
360ONE,2023,16471500000.0,6579300000.0,67812400000.0,-13225100000.0,0.0,2026-02-19 09:28:42.587994
360ONE,2022,14946400000.0,5777400000.0,55708000000.0,9288000000.0,0.0,2026-02-19 09:28:42.588158
3IINFOLTD,2025,7257600000.0,253500000.0,635100000.0,282500000.0,0.0,2026-02-19 09:28:43.213869
3IINFOLTD,2024,8138800000.0,-3135800000.0,844800000.0,241200000.0,0.0,2026-02-19 09:28:43.214134
3IINFOLTD,2023,7291100000.0,13700000.0,992400000.0,1447400000.0,0.0,2026-02-19 09:28:43.214324
3IINFOLTD,2022,6770100000.0,-574900000.0,1186400000.0,-500400000.0,0.0,2026-02-19 09:28:43.214481
3IINFOLTD,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:43.214633
3PLAND,2025,36586000.0,20902000.0,0.0,11711000.0,0.0,2026-02-19 09:28:44.402597
3PLAND,2024,28792000.0,18079000.0,0.0,1174000.0,0.0,2026-02-19 09:28:44.402856
3PLAND,2023,18458000.0,15352000.0,0.0,144000.0,0.0,2026-02-19 09:28:44.403141
3PLAND,2022,17394000.0,11547000.0,0.0,-807000.0,0.0,2026-02-19 09:28:44.403516
3PLAND,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:44.403791
5PAISA,2025,2291570000.0,682340000.0,2174160000.0,979350000.0,0.0,2026-02-19 09:28:45.000607
5PAISA,2024,2593660000.0,544410000.0,3363170000.0,-916850000.0,0.0,2026-02-19 09:28:45.000876
5PAISA,2023,2359730000.0,435670000.0,1692830000.0,245940000.0,0.0,2026-02-19 09:28:45.001045
5PAISA,2022,2159730000.0,137360000.0,2789760000.0,-1406260000.0,0.0,2026-02-19 09:28:45.001224
5PAISA,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:45.001391
63MOONS,2025,468204000.0,-331704000.0,28480000.0,-1427828000.0,0.0,2026-02-19 09:28:45.566499
63MOONS,2024,3688358000.0,2225058000.0,51711000.0,471573000.0,0.0,2026-02-19 09:28:45.566775
63MOONS,2023,2896778000.0,-163088000.0,42019000.0,707124000.0,0.0,2026-02-19 09:28:45.566945
63MOONS,2022,1597650000.0,-531734000.0,2795000.0,-1017970000.0,0.0,2026-02-19 09:28:45.567108
63MOONS,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:45.567293
A2ZINFRA,2025,3362675000.0,89731000.0,916225000.0,542143000.0,0.0,2026-02-19 09:28:46.245007
A2ZINFRA,2024,3884880000.0,-56918000.0,1979510000.0,953277000.0,0.0,2026-02-19 09:28:46.245297
A2ZINFRA,2023,3494416000.0,-1229203000.0,3134352000.0,550923000.0,0.0,2026-02-19 09:28:46.245469
A2ZINFRA,2022,3533250000.0,-1799100000.0,3939917000.0,381362000.0,0.0,2026-02-19 09:28:46.245634
AADHARHFC,2025,28351700000.0,9118300000.0,163218800000.0,-30266500000.0,0.0,2026-02-19 09:28:46.933285
AADHARHFC,2024,23542300000.0,7496400000.0,139584400000.0,-25501000000.0,0.0,2026-02-19 09:28:46.933537
AADHARHFC,2023,18810100000.0,5447600000.0,121503300000.0,-11556900000.0,0.0,2026-02-19 09:28:46.933705
AADHARHFC,2022,16118500000.0,4448500000.0,106666000000.0,-9067500000.0,0.0,2026-02-19 09:28:46.933867
AAKASH,2025,981889390.0,18408290.0,237283160.0,82294550.0,0.0,2026-02-19 09:28:47.450221
AAKASH,2024,922326130.0,62056860.0,259780750.0,102108350.0,0.0,2026-02-19 09:28:47.450491
AAKASH,2023,925769270.0,45359070.0,244425160.0,184980200.0,0.0,2026-02-19 09:28:47.450661
AAKASH,2022,768766480.0,61214600.0,163072580.0,97302480.0,0.0,2026-02-19 09:28:47.450829
AAKASH,2021,0.0,0.0,0.0,0.0,0.0,2026-02-19 09:28:47.450990
