symbol,company,isin,sector
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,UNKNOWN
ABMINTLLTD,ABM International Limited,INE251C01025,UNKNOWN
ABREL,Aditya Birla Real Estate Limited,INE055A01016,UNKNOWN
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,UNKNOWN
ACC,ACC Limited,INE012A01025,UNKNOWN
ACCELYA,Accelya Solutions India Limited,INE793A01012,UNKNOWN
ACCURACY,Accuracy Shipping Limited,INE648Z01023,UNKNOWN
ACE,Action Construction Equipment Limited,INE731H01025,UNKNOWN
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,UNKNOWN
ACI,Archean Chemical Industries Limited,INE128X01021,UNKNOWN
ACL,Andhra Cements Limited,INE666E01020,UNKNOWN
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,UNKNOWN
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,UNKNOWN
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,UNKNOWN
ADANIENT,Adani Enterprises Limited,INE423A01024,UNKNOWN
ADANIGREEN,Adani Green Energy Limited,INE364U01010,UNKNOWN
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,UNKNOWN
ADANIPOWER,Adani Power Limited,INE814H01029,UNKNOWN
ADFFOODS,ADF Foods Limited,INE982B01027,UNKNOWN
ADL,Archidply Decor Limited,INE0CHO01012,UNKNOWN
ADOR,Ador Welding Limited,INE045A01017,UNKNOWN
ADROITINFO,Adroit Infotech Limited,INE737B01033,UNKNOWN
ADSL,Allied Digital Services Limited,INE102I01027,UNKNOWN
ADVAIT,Advait Energy Transitions Limited,INE0ALI01010,UNKNOWN
ADVANCE,Advance Agrolife Limited,INE1B0W01010,UNKNOWN
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,UNKNOWN
ADVENTHTL,Advent Hotels International Limited,INE28GN01010,UNKNOWN
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,UNKNOWN
AEGISLOG,Aegis Logistics Limited,INE208C01025,UNKNOWN
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,UNKNOWN
AEQUS,Aequs Limited,INE947N01017,UNKNOWN
AEROENTER,Aeroflex Enterprises Limited,INE065D01027,UNKNOWN
AEROFLEX,Aeroflex Industries Limited,INE024001021,UNKNOWN
AERONEU,Aeroflex Neu Limited,INE035801013,UNKNOWN
AETHER,Aether Industries Limited,INE0BWX01014,UNKNOWN
AFCONS,Afcons Infrastructure Limited,INE101I01011,UNKNOWN
AFFLE,Affle 3i Limited,INE00WC01027,UNKNOWN
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,UNKNOWN
AFIL,Akme Fintrade (India) Limited,INE916Y01027,UNKNOWN
AFSL,Abans Financial Services Limited,INE00ZE01026,UNKNOWN
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,UNKNOWN
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,UNKNOWN
AGI,AGI Greenpac Limited,INE415A01038,UNKNOWN
AGIIL,Agi Infra Limited,INE976R01033,UNKNOWN
AGRITECH,Agri-Tech (India) Limited,INE449G01018,UNKNOWN
AGROPHOS,Agro Phos India Limited,INE740V01019,UNKNOWN
AGSTRA,AGS Transact Technologies Limited,INE583L01014,UNKNOWN
AHCL,Anlon Healthcare Limited,INE0Y8W01017,UNKNOWN
AHLADA,Ahlada Engineers Limited,INE00PV01013,UNKNOWN
AHLEAST,Asian Hotels (East) Limited,INE926K01017,UNKNOWN
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,UNKNOWN
AIAENG,AIA Engineering Limited,INE212H01026,UNKNOWN
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,UNKNOWN
AIRAN,Airan Limited,INE645W01026,UNKNOWN
AIROLAM,Airo Lam limited,INE801L01010,UNKNOWN
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,UNKNOWN
AJAXENGG,Ajax Engineering Limited,INE274Y01021,UNKNOWN
AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,UNKNOWN
AJOONI,Ajooni Biotech Limited,INE820Y01021,UNKNOWN
