symbol,company,isin,sector
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,UNKNOWN
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,UNKNOWN
CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019,UNKNOWN
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,UNKNOWN
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,UNKNOWN
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,UNKNOWN
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,UNKNOWN
CHEVIOT,Cheviot Company Limited,INE974B01016,UNKNOWN
CHOICEIN,Choice International Limited,INE102B01014,UNKNOWN
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,UNKNOWN
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,UNKNOWN
CIEINDIA,CIE Automotive India Limited,INE536H01010,UNKNOWN
CIFL,Capital India Finance Limited,INE345H01024,UNKNOWN
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,UNKNOWN
CINELINE,Cineline India Limited,INE704H01022,UNKNOWN
CINEVISTA,Cinevista Limited,INE039B01026,UNKNOWN
CIPLA,Cipla Limited,INE059A01026,UNKNOWN
CLEAN,Clean Science and Technology Limited,INE227W01023,UNKNOWN
CLEDUCATE,CL Educate Limited,INE201M01029,UNKNOWN
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,UNKNOWN
CMSINFO,CMS Info Systems Limited,INE925R01014,UNKNOWN
CNL,Creative Newtech Limited,INE985W01018,UNKNOWN
COALINDIA,Coal India Limited,INE522F01014,UNKNOWN
COASTCORP,Coastal Corporation Limited,INE377E01024,UNKNOWN
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,UNKNOWN
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,UNKNOWN
COFORGE,Coforge Limited,INE591G01025,UNKNOWN
COHANCE,Cohance Lifesciences Limited,INE03QK01018,UNKNOWN
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,UNKNOWN
COMPINFO,Compuage Infocom Limited,INE070C01037,UNKNOWN
COMPUSOFT,Compucom Software Limited,INE453B01029,UNKNOWN
COMSYN,Commercial Syn Bags Limited,INE073V01015,UNKNOWN
CONCOR,Container Corporation of India Limited,INE111A01025,UNKNOWN
CONCORDBIO,Concord Biotech Limited,INE338H01029,UNKNOWN
CONFIPET,Confidence Petroleum India Limited,INE552D01024,UNKNOWN
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,UNKNOWN
CONTROLPR,Control Print Limited,INE663B01015,UNKNOWN
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,UNKNOWN
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,UNKNOWN
COROMANDEL,Coromandel International Limited,INE169A01031,UNKNOWN
CORONA,CORONA Remedies Limited,INE02ZQ01018,UNKNOWN
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,UNKNOWN
COUNCODOS,Country Condo's Limited,INE695B01025,UNKNOWN
CPCAP,CP Capital Limited,INE521J01018,UNKNOWN
CPEDU,Career Point Edutech Limited,INE0P6P01016,UNKNOWN
CPPLUS,Aditya Infotech Limited,INE819V01029,UNKNOWN
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,UNKNOWN
CRAMC,Canara Robeco Asset Management Company Limited,INE218I01013,UNKNOWN
CREATIVEYE,Creative Eye Limited,INE230B01021,UNKNOWN
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,UNKNOWN
CREST,Crest Ventures Limited,INE559D01011,UNKNOWN
CRISIL,CRISIL Limited,INE007A01025,UNKNOWN
CRIZAC,Crizac Limited,INE0S4R01014,UNKNOWN
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,UNKNOWN
CROWN,Crown Lifters Limited,INE491V01019,UNKNOWN
CSBBANK,CSB Bank Limited,INE679A01013,UNKNOWN
CSLFINANCE,CSL Finance Limited,INE718F01018,UNKNOWN
CTE,Cambridge Technology Enterprises Limited,INE627H01017,UNKNOWN
CUB,City Union Bank Limited,INE491A01021,UNKNOWN
CUBEXTUB,Cubex Tubings Limited,INE144D01012,UNKNOWN
CUMMINSIND,Cummins India Limited,INE298A01020,UNKNOWN
CUPID,Cupid Limited,INE509F01029,UNKNOWN
CURAA,Cura Technologies Limited,INE117B01020,UNKNOWN
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,UNKNOWN
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,UNKNOWN
CYIENT,Cyient Limited,INE136B01020,UNKNOWN
CYIENTDLM,Cyient DLM Limited,INE055S01018,UNKNOWN
DABUR,Dabur India Limited,INE016A01026,UNKNOWN
DALBHARAT,Dalmia Bharat Limited,INE00R701025,UNKNOWN
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,UNKNOWN
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,UNKNOWN
DAMODARIND,Damodar Industries Limited,INE497D01022,UNKNOWN
DANGEE,Dangee Dums Limited,INE688Y01022,UNKNOWN
DATAMATICS,Datamatics Global Services Limited,INE365B01017,UNKNOWN
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,UNKNOWN
DAVANGERE,Davangere Sugar Company Limited,INE179G01029,UNKNOWN
DBCORP,D.B.Corp Limited,INE950I01011,UNKNOWN
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019,UNKNOWN
DBL,Dilip Buildcon Limited,INE917M01012,UNKNOWN
DBOL,Dhampur Bio Organics Limited,INE0I3401014,UNKNOWN
DBREALTY,Valor Estate Limited,INE879I01012,UNKNOWN
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,UNKNOWN
DCAL,Dishman Carbogen Amcis Limited,INE385W01011,UNKNOWN
DCBBANK,DCB Bank Limited,INE503A01015,UNKNOWN
DCI,Dc Infotech And Communication Limited,INE0A1101019,UNKNOWN
DCM,DCM  Limited,INE498A01018,UNKNOWN
DCMFINSERV,DCM Financial Services Limited,INE891B01012,UNKNOWN
DCMNVL,DCM Nouvelle Limited,INE08KP01019,UNKNOWN
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,UNKNOWN
DCMSRIND,DCM Shriram Industries Limited,INE843D01027,UNKNOWN
DCW,DCW Limited,INE500A01029,UNKNOWN
DCXINDIA,DCX Systems Limited,INE0KL801015,UNKNOWN
DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026,UNKNOWN
DECCANCE,Deccan Cements Limited,INE583C01021,UNKNOWN
DEEDEV,DEE Development Engineers Limited,INE841L01016,UNKNOWN
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,UNKNOWN
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,UNKNOWN
DEEPINDS,Deep Industries Limited,INE0FHS01024,UNKNOWN
DELHIVERY,Delhivery Limited,INE148O01028,UNKNOWN
DELPHIFX,DELPHI WORLD MONEY LIMITED,INE726L01019,UNKNOWN
DELTACORP,Delta Corp Limited,INE124G01033,UNKNOWN
DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,UNKNOWN
DEN,Den Networks Limited,INE947J01015,UNKNOWN
DENORA,De Nora India Limited,INE244A01016,UNKNOWN
DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018,UNKNOWN
DEVIT,Dev Information Technology Limited,INE060X01034,UNKNOWN
DEVX,Dev Accelerator Limited,INE0VOV01021,UNKNOWN
DEVYANI,Devyani International Limited,INE872J01023,UNKNOWN
DGCONTENT,Digicontent Limited,INE03JI01017,UNKNOWN
DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,UNKNOWN
DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,UNKNOWN
DHANUKA,Dhanuka Agritech Limited,INE435G01025,UNKNOWN
DHARAN,DHARAN INFRA-EPC LIMITED,INE278R01034,UNKNOWN
DHARMAJ,Dharmaj Crop Guard Limited,INE00OQ01016,UNKNOWN
DHRUV,Dhruv Consultancy Services Limited,INE506Z01015,UNKNOWN
DHUNINV,Dhunseri Investments Limited,INE320L01011,UNKNOWN
DIACABS,Diamond Power Infrastructure Limited,INE989C01038,UNKNOWN
DIAMINESQ,Diamines & Chemicals Limited,INE591D01014,UNKNOWN
DIAMONDYD,Prataap Snacks Limited,INE393P01035,UNKNOWN
DICIND,DIC India Limited,INE303A01010,UNKNOWN
DIFFNKG,Diffusion Engineers Limited,INE184O01015,UNKNOWN
DIGIDRIVE,Digidrive Distributors Limited,INE0PSC01024,UNKNOWN
DIGISPICE,DiGiSPICE Technologies Limited,INE927C01020,UNKNOWN
DIGITIDE,Digitide Solutions Limited,INE0U4701011,UNKNOWN
DIGJAMLMTD,Digjam Limited,INE731U01028,UNKNOWN
DIL,Debock Industries Limited,INE411Y01011,UNKNOWN
DISHTV,Dish TV India Limited,INE836F01026,UNKNOWN
DIVGIITTS,Divgi Torqtransfer Systems Limited,INE753U01022,UNKNOWN
DIVISLAB,Divi's Laboratories Limited,INE361B01024,UNKNOWN
DIXON,Dixon Technologies (India) Limited,INE935N01020,UNKNOWN
DJML,DJ Mediaprint & Logistics Limited,INE0B1K01014,UNKNOWN
DLF,DLF Limited,INE271C01023,UNKNOWN
DLINKINDIA,D-Link (India) Limited,INE250K01012,UNKNOWN
DMART,Avenue Supermarts Limited,INE192R01011,UNKNOWN
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,INE505A01010,UNKNOWN
DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,UNKNOWN
DODLA,Dodla Dairy Limited,INE021O01019,UNKNOWN
DOLATALGO,Dolat Algotech Limited,INE966A01022,UNKNOWN
DOLLAR,Dollar Industries Limited,INE325C01035,UNKNOWN
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01037,UNKNOWN
DOMS,DOMS Industries Limited,INE321T01012,UNKNOWN
DONEAR,Donear Industries Limited,INE668D01028,UNKNOWN
DPABHUSHAN,D. P. Abhushan Limited,INE266Y01019,UNKNOWN
DPSCLTD,DPSC Limited,INE360C01024,UNKNOWN
DPWIRES,D P Wires Limited,INE864X01013,UNKNOWN
DRCSYSTEMS,DRC Systems India Limited,INE03RS01027,UNKNOWN
DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,UNKNOWN
DREDGECORP,Dredging Corporation of India Limited,INE506A01018,UNKNOWN
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,UNKNOWN
DSSL,Dynacons Systems & Solutions Limited,INE417B01040,UNKNOWN
DTIL,Dhunseri Tea & Industries Limited,INE341R01014,UNKNOWN
DUCON,Ducon Infratechnologies Limited,INE741L01018,UNKNOWN
DVL,Dhunseri Ventures Limited,INE477B01010,UNKNOWN
DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,UNKNOWN
DYCL,Dynamic Cables Limited,INE600Y01019,UNKNOWN
DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,UNKNOWN
DYNPRO,Dynemic Products Limited,INE256H01015,UNKNOWN
E2E,E2E Networks Limited,INE255Z01019,UNKNOWN
EASEMYTRIP,Easy Trip Planners Limited,INE07O001026,UNKNOWN
EBGNG,GNG Electronics Limited,INE18JU01028,UNKNOWN
ECLERX,eClerx Services Limited,INE738I01010,UNKNOWN
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,INE06HJ01020,UNKNOWN
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,UNKNOWN
EFCIL,EFC (I) Limited,INE886D01026,UNKNOWN
EICHERMOT,Eicher Motors Limited,INE066A01021,UNKNOWN
EIDPARRY,EID Parry India Limited,INE126A01031,UNKNOWN
EIEL,Enviro Infra Engineers Limited,INE0LLY01014,UNKNOWN
EIFFL,Euro India Fresh Foods Limited,INE546V01010,UNKNOWN
EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,UNKNOWN
EIHOTEL,EIH Limited,INE230A01023,UNKNOWN
EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,UNKNOWN
EKC,Everest Kanto Cylinder Limited,INE184H01027,UNKNOWN
ELDEHSG,Eldeco Housing And Industries Limited,INE668G01021,UNKNOWN
ELECON,Elecon Engineering Company Limited,INE205B01031,UNKNOWN
ELECTCAST,Electrosteel Castings Limited,INE086A01029,UNKNOWN
ELECTHERM,Electrotherm (India) Limited,INE822G01016,UNKNOWN
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,UNKNOWN
ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,UNKNOWN
ELIN,Elin Electronics Limited,INE050401020,UNKNOWN
ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,UNKNOWN
EMAMILTD,Emami Limited,INE548C01032,UNKNOWN
EMAMIPAP,Emami Paper Mills Limited,INE830C01026,UNKNOWN
EMAMIREAL,Emami Realty Limited,INE778K01012,UNKNOWN
EMBDL,Embassy Developments Limited,INE069I01010,UNKNOWN
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,UNKNOWN
EMIL,Electronics Mart India Limited,INE02YR01019,UNKNOWN
EMKAY,Emkay Global Financial Services Limited,INE296H01011,UNKNOWN
EMMBI,Emmbi Industries Limited,INE753K01015,UNKNOWN
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,UNKNOWN
EMSLIMITED,EMS Limited,INE0OV601013,UNKNOWN
EMUDHRA,eMudhra Limited,INE01QM01018,UNKNOWN
ENDURANCE,Endurance Technologies Limited,INE913H01037,UNKNOWN
ENERGYDEV,Energy Development Company Limited,INE306C01019,UNKNOWN
ENGINERSIN,Engineers India Limited,INE510A01028,UNKNOWN
ENIL,Entertainment Network (India) Limited,INE265F01028,UNKNOWN
ENRIN,Siemens Energy India Limited,INE1NPP01017,UNKNOWN
ENTERO,Entero Healthcare Solutions Limited,INE010601016,UNKNOWN
EPACK,EPACK Durable Limited,INE0G5901015,UNKNOWN
EPACKPEB,EPack Prefab Technologies Limited,INE0MLS01022,UNKNOWN
EPIGRAL,Epigral Limited,INE071N01016,UNKNOWN
EPL,EPL Limited,INE255A01020,UNKNOWN
EQUIPPP,Equippp Social Impact Technologies Limited,INE217G01035,UNKNOWN
EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,UNKNOWN
ERIS,Eris Lifesciences Limited,INE406M01024,UNKNOWN
ESABINDIA,Esab India Limited,INE284A01012,UNKNOWN
ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,UNKNOWN
ESCORTS,Escorts Kubota Limited,INE042A01014,UNKNOWN
ESSARSHPNG,Essar Shipping Limited,INE122M01019,UNKNOWN
ESSENTIA,Integra Essentia Limited,INE418N01035,UNKNOWN
ESTER,Ester Industries Limited,INE778B01029,UNKNOWN
ETERNAL,ETERNAL LIMITED,INE758T01015,UNKNOWN
ETHOSLTD,Ethos Limited,INE04TZ01018,UNKNOWN
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,UNKNOWN
EUROBOND,Euro Panel Products Limited,INE505V01016,UNKNOWN
EUROPRATIK,Euro Pratik Sales Limited,INE198501012,UNKNOWN
EUROTEXIND,Eurotex Industries and Exports Limited,INE022C01012,UNKNOWN
EVEREADY,Eveready Industries India Limited,INE128A01029,UNKNOWN
EVERESTIND,Everest Industries Limited,INE295A01018,UNKNOWN
EXCEL,Excel Realty N Infra Limited,INE688J01023,UNKNOWN
EXCELINDUS,Excel Industries Limited,INE369A01029,UNKNOWN
EXCELSOFT,Excelsoft Technologies Limited,INE606N01019,UNKNOWN
EXICOM,Exicom Tele-Systems Limited,INE777F01014,UNKNOWN
EXIDEIND,Exide Industries Limited,INE302A01020,UNKNOWN
EXPLEOSOL,Expleo Solutions Limited,INE201K01015,UNKNOWN
EXXARO,Exxaro Tiles Limited,INE0GFE01026,UNKNOWN
FABTECH,Fabtech Technologies Limited,INE0HF201011,UNKNOWN
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,UNKNOWN
FAIRCHEMOR,Fairchem Organics Limited,INE0DNW01011,UNKNOWN
FAZE3Q,Faze Three Limited,INE963C01033,UNKNOWN
FCL,Fineotex Chemical Limited,INE045J01034,UNKNOWN
FCSSOFT,FCS Software Solutions Limited,INE512B01022,UNKNOWN
FDC,FDC Limited,INE258B01022,UNKNOWN
FEDERALBNK,The Federal Bank  Limited,INE171A01029,UNKNOWN
FEDFINA,Fedbank Financial Services Limited,INE007N01010,UNKNOWN
FEL,Future Enterprises Limited,INE623B01027,UNKNOWN
FELDVR,Future Enterprises Limited,IN9623B01058,UNKNOWN
FIBERWEB,Fiberweb (India) Limited,INE296C01020,UNKNOWN
FIEMIND,Fiem Industries Limited,INE737H01014,UNKNOWN
FILATEX,Filatex India Limited,INE816B01035,UNKNOWN
FILATFASH,Filatex Fashions Limited,INE185E01021,UNKNOWN
FINCABLES,Finolex Cables Limited,INE235A01022,UNKNOWN
FINEORG,Fine Organic Industries Limited,INE686Y01026,UNKNOWN
FINKURVE,Finkurve Financial Services Limited,INE734I01027,UNKNOWN
FINOPB,Fino Payments Bank Limited,INE02NC01014,UNKNOWN
FINPIPE,Finolex Industries Limited,INE183A01024,UNKNOWN
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,UNKNOWN
FISCHER,Fischer Medical Ventures Limited,INE771F01041,UNKNOWN
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,UNKNOWN
FLAIR,Flair Writing Industries Limited,INE00Y201027,UNKNOWN
FLEXITUFF,Flexituff Ventures International Limited,INE060J01017,UNKNOWN
FLFL,Future Lifestyle Fashions Limited,INE452O01016,UNKNOWN
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,UNKNOWN
FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,UNKNOWN
FMNL,Future Market Networks Limited,INE360L01017,UNKNOWN
FOCUS,Focus Lighting and Fixtures Limited,INE593W01028,UNKNOWN
FOODSIN,Foods & Inns Limited,INE976E01023,UNKNOWN
FORCEMOT,FORCE MOTORS LTD,INE451A01017,UNKNOWN
FORTIS,Fortis Healthcare Limited,INE061F01013,UNKNOWN
FOSECOIND,Foseco India Limited,INE519A01011,UNKNOWN
FSL,Firstsource Solutions Limited,INE684F01012,UNKNOWN
FUSION,Fusion Finance Limited,INE139R01012,UNKNOWN
GABRIEL,Gabriel India Limited,INE524A01029,UNKNOWN
GAEL,Gujarat Ambuja Exports Limited,INE036B01030,UNKNOWN
GAIL,GAIL (India) Limited,INE129A01019,UNKNOWN
GALAPREC,Gala Precision Engineering Limited,INE0RE001014,UNKNOWN
GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,UNKNOWN
GALLANTT,Gallantt Ispat Limited,INE297H01019,UNKNOWN
GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,UNKNOWN
GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,UNKNOWN
GANECOS,Ganesha Ecosphere Limited,INE845D01014,UNKNOWN
GANESHBE,Ganesh Benzoplast Limited,INE388A01029,UNKNOWN
GANESHCP,Ganesh Consumer Products Limited,INE652V01016,UNKNOWN
GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,UNKNOWN
GANGAFORGE,Ganga Forging Limited,INE691Z01023,UNKNOWN
GANGESSECU,Ganges Securities Limited,INE335W01016,UNKNOWN
GARFIBRES,Garware Technical Fibres Limited,INE276A01018,UNKNOWN
GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,UNKNOWN
GATECH,GACM Technologies Limited,INE224E01028,UNKNOWN
GATECHDVR,GACM Technologies Limited,INE224E01036,UNKNOWN
GATEWAY,Gateway Distriparks Limited,INE079J01017,UNKNOWN
GAYAHWS,Gayatri Highways Limited,INE287Z01012,UNKNOWN
GCSL,Gretex Corporate Services Limited,INE199P01028,UNKNOWN
GEECEE,GeeCee Ventures Limited,INE916G01016,UNKNOWN
GEEKAYWIRE,Geekay Wires Limited,INE669X01032,UNKNOWN
GEMAROMA,Gem Aromatics Limited,INE06XZ01023,UNKNOWN
GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,UNKNOWN
GENESYS,Genesys International Corporation Limited,INE727B01026,UNKNOWN
GENSOL,Gensol Engineering Limited,INE06H201014,UNKNOWN
GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,UNKNOWN
GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,UNKNOWN
GEOJITFSL,Geojit Financial Services Limited,INE007B01023,UNKNOWN
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,UNKNOWN
GFLLIMITED,GFL Limited,INE538A01037,UNKNOWN
GHCL,GHCL Limited,INE539A01019,UNKNOWN
GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,UNKNOWN
GICHSGFIN,GIC Housing Finance Limited,INE289B01019,UNKNOWN
GICRE,General Insurance Corporation of India,INE481Y01014,UNKNOWN
GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,UNKNOWN
GILLETTE,Gillette India Limited,INE322A01010,UNKNOWN
GINNIFILA,Ginni Filaments Limited,INE424C01010,UNKNOWN
GIPCL,Gujarat Industries Power Company Limited,INE162A01010,UNKNOWN
GKENERGY,GK Energy Limited,INE1AG301022,UNKNOWN
GKSL,Gujarat Kidney And Super Speciality Limited,INE0V0W01025,UNKNOWN
GKWLIMITED,GKW Limited,INE528A01020,UNKNOWN
GLAND,Gland Pharma Limited,INE068V01023,UNKNOWN
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,UNKNOWN
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,UNKNOWN
GLFL,Gujarat Lease Financing Limited,INE540A01017,UNKNOWN
GLOBAL,Global Education Limited,INE291W01037,UNKNOWN
GLOBALE,Globale Tessile Limited,INE0URU01010,UNKNOWN
GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,UNKNOWN
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,UNKNOWN
GLOBECIVIL,Globe Civil Projects Limited,INE0V3U01015,UNKNOWN
GLOBUSSPR,Globus Spirits Limited,INE615I01010,UNKNOWN
GLOSTERLTD,Gloster Limited,INE350Z01018,UNKNOWN
GLOTTIS,Glottis Limited,INE0TQE01026,UNKNOWN
GMBREW,GM Breweries Limited,INE075D01018,UNKNOWN
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,UNKNOWN
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,UNKNOWN
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,UNKNOWN
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,UNKNOWN
GNA,GNA Axles Limited,INE934S01014,UNKNOWN
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,UNKNOWN
GOACARBON,Goa Carbon Limited,INE426D01013,UNKNOWN
GOCLCORP,GOCL Corporation Limited,INE077F01035,UNKNOWN
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,UNKNOWN
GODAVARIB,Godavari Biorefineries Limited,INE497S01012,UNKNOWN
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,UNKNOWN
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,UNKNOWN
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,UNKNOWN
GODREJCP,Godrej Consumer Products Limited,INE102D01028,UNKNOWN
GODREJIND,Godrej Industries Limited,INE233A01035,UNKNOWN
GODREJPROP,Godrej Properties Limited,INE484J01027,UNKNOWN
GOKEX,Gokaldas Exports Limited,INE887G01027,UNKNOWN
GOKUL,Gokul Refoils and Solvent Limited,INE020J01029,UNKNOWN
GOKULAGRO,Gokul Agro Resources Limited,INE314T01033,UNKNOWN
GOLDENTOBC,Golden Tobacco Limited,INE973A01010,UNKNOWN
GOLDIAM,Goldiam International Limited,INE025B01025,UNKNOWN
GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,UNKNOWN
GOODLUCK,Goodluck India Limited,INE127I01024,UNKNOWN
GOPAL,Gopal Snacks Limited,INE0L9R01028,UNKNOWN
GOYALALUM,Goyal Aluminiums Limited,INE705X01026,UNKNOWN
GPIL,Godawari Power And Ispat limited,INE177H01039,UNKNOWN
GPPL,Gujarat Pipavav Port Limited,INE517F01014,UNKNOWN
GPTHEALTH,GPT Healthcare Limited,INE486R01017,UNKNOWN
GPTINFRA,GPT Infraprojects Limited,INE390G01014,UNKNOWN
GRANULES,Granules India Limited,INE101D01020,UNKNOWN
GRAPHITE,Graphite India Limited,INE371A01025,UNKNOWN
GRASIM,Grasim Industries Limited,INE047A01021,UNKNOWN
GRAVITA,Gravita India Limited,INE024L01027,UNKNOWN
GREAVESCOT,Greaves Cotton Limited,INE224A01026,UNKNOWN
GREENLAM,Greenlam Industries Limited,INE544R01021,UNKNOWN
GREENPANEL,Greenpanel Industries Limited,INE08ZM01014,UNKNOWN
GREENPLY,Greenply Industries Limited,INE461C01038,UNKNOWN
GREENPOWER,Orient Green Power Company Limited,INE999K01014,UNKNOWN
GRINDWELL,Grindwell Norton Limited,INE536A01023,UNKNOWN
GRINFRA,G R Infraprojects Limited,INE201P01022,UNKNOWN
GRMOVER,GRM Overseas Limited,INE192H01020,UNKNOWN
GROBTEA,The Grob Tea Company Limited,INE646C01018,UNKNOWN
GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,UNKNOWN
GRPLTD,GRP Limited,INE137I01015,UNKNOWN
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,UNKNOWN
GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,UNKNOWN
GSFC,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,UNKNOWN
GSLSU,Global Surfaces Limited,INE0JSX01015,UNKNOWN
GSPL,Gujarat State Petronet Limited,INE246F01010,UNKNOWN
GSS,GSS Infotech Limited,INE871H01011,UNKNOWN
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,INE586X01012,UNKNOWN
GTL,GTL Limited,INE043A01012,UNKNOWN
GTLINFRA,GTL Infrastructure Limited,INE221H01019,UNKNOWN
GTPL,GTPL Hathway Limited,INE869I01013,UNKNOWN
GUFICBIO,Gufic Biosciences Limited,INE742B01025,UNKNOWN
GUJALKALI,Gujarat Alkalies and Chemicals Limited,INE186A01019,UNKNOWN
GUJAPOLLO,Gujarat Apollo Industries Limited,INE826C01016,UNKNOWN
GUJGASLTD,Gujarat Gas Limited,INE844O01030,UNKNOWN
GUJRAFFIA,Gujarat Raffia Industries Limited,INE610B01024,UNKNOWN
GUJTHEM,Gujarat Themis Biosyn Limited,INE942C01045,UNKNOWN
GULFOILLUB,Gulf Oil Lubricants India Limited,INE635Q01029,UNKNOWN
GULFPETRO,GP Petroleums Limited,INE586G01017,UNKNOWN
GULPOLY,Gulshan Polyols Limited,INE255D01024,UNKNOWN
GVKPIL,GVK Power & Infrastructure Limited,INE251H01024,UNKNOWN
GVPIL,GE Power India Limited,INE878A01011,UNKNOWN
GVPTECH,GVP Infotech Limited,INE382T01030,UNKNOWN
GVT&D,GE Vernova T&D India Limited,INE200A01026,UNKNOWN
HAL,Hindustan Aeronautics Limited,INE066F01020,UNKNOWN
HALDER,Halder Venture Limited,INE115S01010,UNKNOWN
HALEOSLABS,HALEOS LABS LIMITED,INE320X01016,UNKNOWN
HAPPSTMNDS,Happiest Minds Technologies Limited,INE419U01012,UNKNOWN
HAPPYFORGE,Happy Forgings Limited,INE330T01021,UNKNOWN
HARDWYN,Hardwyn India Limited,INE626Z01029,UNKNOWN
HARIOMPIPE,Hariom Pipe Industries Limited,INE00EV01017,UNKNOWN
HARRMALAYA,Harrisons  Malayalam Limited,INE544A01019,UNKNOWN
HARSHA,Harsha Engineers International Limited,INE0JUS01029,UNKNOWN
