Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900
2025-07-31,24768.349609375,24956.5,24635.0,24642.25,346300
2025-08-01,24565.349609375,24784.150390625,24535.05078125,24734.900390625,263400
2025-08-04,24722.75,24736.25,24554.0,24596.05078125,259300
2025-08-05,24649.55078125,24733.099609375,24590.30078125,24720.25,251800
2025-08-06,24574.19921875,24671.400390625,24539.19921875,24641.349609375,225100
2025-08-07,24596.150390625,24634.19921875,24344.150390625,24464.19921875,616700
2025-08-08,24363.30078125,24585.5,24337.5,24544.25,312600
2025-08-11,24585.05078125,24600.849609375,24347.44921875,24371.5,241100
2025-08-12,24487.400390625,24702.599609375,24465.650390625,24563.349609375,237000
2025-08-13,24619.349609375,24664.55078125,24535.25,24586.19921875,236000
2025-08-14,24631.30078125,24673.650390625,24596.900390625,24607.25,270200
2025-08-18,24876.94921875,25022.0,24852.849609375,24938.19921875,363100
2025-08-19,24980.650390625,25012.650390625,24873.94921875,24891.349609375,252300
2025-08-20,25050.55078125,25088.69921875,24929.69921875,24965.80078125,287100
2025-08-21,25083.75,25153.650390625,25054.900390625,25142.0,226500
2025-08-22,24870.099609375,25084.849609375,24859.150390625,25064.150390625,210200
2025-08-25,24967.75,25021.55078125,24894.349609375,24949.150390625,213000
2025-08-26,24712.05078125,24919.650390625,24689.599609375,24899.5,750500
2025-08-28,24500.900390625,24702.650390625,24481.599609375,24695.80078125,326600
2025-08-29,24426.849609375,24572.44921875,24404.69921875,24466.69921875,325500
2025-09-01,24625.05078125,24635.599609375,24432.69921875,24432.69921875,229300
2025-09-02,24579.599609375,24756.099609375,24522.349609375,24653.0,271600
2025-09-03,24715.05078125,24737.05078125,24533.19921875,24616.5,340300
2025-09-04,24734.30078125,24980.75,24708.19921875,24980.75,314100
2025-09-05,24741.0,24832.349609375,24621.599609375,24818.849609375,210100
2025-09-08,24773.150390625,24885.5,24751.55078125,24802.599609375,213200
2025-09-09,24868.599609375,24891.80078125,24814.0,24864.099609375,226900
2025-09-10,24973.099609375,25035.69921875,24915.05078125,24991.0,244100
2025-09-11,25005.5,25037.30078125,24940.150390625,24945.5,224600
2025-09-12,25114.0,25139.44921875,25038.05078125,25074.44921875,225700
2025-09-15,25069.19921875,25138.44921875,25048.75,25118.900390625,185400
2025-09-16,25239.099609375,25261.400390625,25070.44921875,25073.599609375,240100
2025-09-17,25330.25,25346.5,25275.349609375,25276.599609375,268900
2025-09-18,25423.599609375,25448.94921875,25329.75,25441.05078125,272200
2025-09-19,25327.05078125,25428.75,25286.30078125,25410.19921875,380400
2025-09-22,25202.349609375,25331.69921875,25151.05078125,25238.099609375,254500
2025-09-23,25169.5,25261.900390625,25084.650390625,25209.0,299200
2025-09-24,25056.900390625,25149.849609375,25027.44921875,25108.75,244400
2025-09-25,24890.849609375,25092.69921875,24878.30078125,25034.5,342500
2025-09-26,24654.69921875,24868.599609375,24629.44921875,24818.55078125,291500
2025-09-29,24634.900390625,24791.30078125,24606.19921875,24728.55078125,394400
2025-09-30,24611.099609375,24731.80078125,24587.69921875,24691.94921875,303000
2025-10-01,24836.30078125,24867.94921875,24605.94921875,24620.55078125,308900
2025-10-03,24894.25,24904.80078125,24747.55078125,24759.55078125,365900
2025-10-06,25077.650390625,25095.94921875,24881.650390625,24916.55078125,268800
2025-10-07,25108.30078125,25220.900390625,25076.30078125,25085.30078125,288000
2025-10-08,25046.150390625,25192.5,25008.5,25079.75,227400
2025-10-09,25181.80078125,25199.25,25024.30078125,25074.30078125,286300
2025-10-10,25285.349609375,25330.75,25156.849609375,25167.650390625,232900
2025-10-13,25227.349609375,25267.30078125,25152.30078125,25177.30078125,234300
2025-10-14,25145.5,25310.349609375,25060.55078125,25277.55078125,292100
2025-10-15,25323.55078125,25365.150390625,25159.349609375,25181.94921875,289900
2025-10-16,25585.30078125,25625.400390625,25376.849609375,25394.900390625,372800
2025-10-17,25709.849609375,25781.5,25508.599609375,25546.849609375,422100
2025-10-20,25843.150390625,25926.19921875,25788.5,25824.599609375,301100
2025-10-21,25868.599609375,25934.349609375,25825.80078125,25901.19921875,42500
2025-10-23,25891.400390625,26104.19921875,25862.44921875,26057.19921875,448400
2025-10-24,25795.150390625,25944.150390625,25718.19921875,25935.099609375,284900
2025-10-27,25966.05078125,26005.94921875,25827.0,25843.19921875,266300
2025-10-28,25936.19921875,26041.69921875,25810.05078125,25939.94921875,395200
2025-10-29,26053.900390625,26097.849609375,25960.30078125,25982.0,321900
2025-10-30,25877.849609375,26032.05078125,25845.25,25984.400390625,257400
2025-10-31,25722.099609375,25953.75,25711.19921875,25863.80078125,334400
2025-11-03,25763.349609375,25803.099609375,25645.5,25696.849609375,23300
2025-11-04,25597.650390625,25787.400390625,25578.400390625,25744.75,305100
2025-11-06,25509.69921875,25679.150390625,25491.55078125,25593.349609375,371900
2025-11-07,25492.30078125,25551.25,25318.44921875,25433.80078125,305600
2025-11-10,25574.349609375,25653.44921875,25503.5,25503.5,243600
2025-11-11,25694.94921875,25715.80078125,25449.25,25617.0,297700
2025-11-12,25875.80078125,25934.55078125,25781.150390625,25834.30078125,312600
2025-11-13,25879.150390625,26010.69921875,25808.400390625,25906.099609375,385200
2025-11-14,25910.05078125,25940.19921875,25740.80078125,25767.900390625,518900
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600
2025-11-24,25959.5,26142.80078125,25912.150390625,26122.80078125,464700
2025-11-25,25884.80078125,26032.599609375,25857.5,25998.5,260500
2025-11-26,26205.30078125,26215.150390625,25842.94921875,25842.94921875,275300
2025-11-27,26215.55078125,26310.44921875,26141.900390625,26261.25,240300
2025-11-28,26202.94921875,26280.75,26172.400390625,26237.44921875,202500
2025-12-01,26175.75,26325.80078125,26124.19921875,26325.80078125,213800
2025-12-02,26032.19921875,26154.599609375,25997.849609375,26087.94921875,254800
2025-12-03,25986.0,26066.44921875,25891.0,26004.900390625,265700
2025-12-04,26033.75,26098.25,25938.94921875,25981.849609375,248100
2025-12-05,26186.44921875,26202.599609375,25985.349609375,25999.80078125,249300
2025-12-08,25960.55078125,26178.69921875,25892.25,26159.80078125,320700
2025-12-09,25839.650390625,25923.650390625,25728.0,25867.099609375,276000
2025-12-10,25758.0,25947.650390625,25734.55078125,25864.05078125,207900
2025-12-11,25898.55078125,25922.80078125,25693.25,25771.400390625,206100
2025-12-12,26046.94921875,26057.599609375,25938.44921875,25971.19921875,216300
2025-12-15,26027.30078125,26047.150390625,25904.75,25930.05078125,181600
2025-12-16,25860.099609375,25980.75,25834.349609375,25951.5,264400
2025-12-17,25818.55078125,25929.150390625,25770.349609375,25902.400390625,206500
2025-12-18,25815.55078125,25902.349609375,25726.30078125,25764.69921875,197600
2025-12-19,25966.400390625,25993.349609375,25880.44921875,25911.5,382900
2025-12-22,26172.400390625,26180.69921875,26047.80078125,26055.849609375,253000
2025-12-23,26177.150390625,26233.55078125,26119.05078125,26205.19921875,216600
2025-12-24,26142.099609375,26236.400390625,26123.0,26170.650390625,188800
2025-12-26,26042.30078125,26144.19921875,26008.599609375,26121.25,142200
2025-12-29,25942.099609375,26106.80078125,25920.30078125,26063.349609375,234300
2025-12-30,25938.849609375,25976.75,25878.0,25940.900390625,396900
2025-12-31,26129.599609375,26187.94921875,25969.0,25971.05078125,246300
2026-01-01,26146.55078125,26197.55078125,26113.400390625,26173.30078125,425600
2026-01-02,26328.55078125,26340.0,26118.400390625,26155.099609375,357500
2026-01-05,26250.30078125,26373.19921875,26210.05078125,26333.69921875,338800
2026-01-06,26178.69921875,26273.94921875,26124.75,26189.69921875,383000
2026-01-07,26140.75,26187.150390625,26067.900390625,26143.099609375,338200
2026-01-08,25876.849609375,26133.19921875,25858.44921875,26106.5,328500
2026-01-09,25683.30078125,25940.599609375,25623.0,25840.400390625,348800
2026-01-12,25790.25,25813.150390625,25473.400390625,25669.05078125,275800
2026-01-13,25732.30078125,25899.80078125,25603.30078125,25897.349609375,339500
2026-01-14,25665.599609375,25791.75,25603.94921875,25648.55078125,393100
2026-01-16,25694.349609375,25873.5,25662.400390625,25696.05078125,434000
2026-01-19,25585.5,25653.30078125,25494.349609375,25653.099609375,443100
2026-01-20,25232.5,25585.0,25171.349609375,25580.30078125,409800
2026-01-21,25157.5,25300.94921875,24919.80078125,25141.0,395600
2026-01-22,25289.900390625,25435.75,25168.5,25344.150390625,486400
2026-01-23,25048.650390625,25347.94921875,25025.30078125,25344.599609375,393900
2026-01-27,25175.400390625,25246.650390625,24932.55078125,25063.349609375,618700
2026-01-28,25311.099609375,25372.099609375,25225.69921875,25258.849609375,0
