symbol,sector,computed_time
AMJLAND,Unknown,2026-02-19 07:56:16.822815
AMNPLST,Unknown,2026-02-19 07:56:16.822875
AMRUTANJAN,Unknown,2026-02-19 07:56:16.822934
ANANDRATHI,Unknown,2026-02-19 07:56:16.822995
ANANTRAJ,Unknown,2026-02-19 07:56:16.823071
ANDHRAPAP,Unknown,2026-02-19 07:56:16.823149
ANDHRSUGAR,Unknown,2026-02-19 07:56:16.823248
ANGELONE,Unknown,2026-02-19 07:56:16.823330
ANIKINDS,Unknown,2026-02-19 07:56:16.823407
ANMOL,Unknown,2026-02-19 07:56:16.823482
ANTELOPUS,Energy,2026-02-19 07:56:16.823565
ANTGRAPHIC,Unknown,2026-02-19 07:56:16.823640
ANTHEM,Pharma,2026-02-19 07:56:16.823714
ANUHPHR,Pharma,2026-02-19 07:56:16.823789
ANUP,Unknown,2026-02-19 07:56:16.823862
ANURAS,Unknown,2026-02-19 07:56:16.823926
APARINDS,Unknown,2026-02-19 07:56:16.823991
APCL,Cement,2026-02-19 07:56:16.824054
APCOTEXIND,Unknown,2026-02-19 07:56:16.824123
APEX,Unknown,2026-02-19 07:56:16.824217
APLAPOLLO,Unknown,2026-02-19 07:56:16.824300
APLLTD,Pharma,2026-02-19 07:56:16.824379
APOLLO,Unknown,2026-02-19 07:56:16.824466
APOLLOHOSP,Unknown,2026-02-19 07:56:16.824543
APOLLOPIPE,Unknown,2026-02-19 07:56:16.824636
APOLLOTYRE,Unknown,2026-02-19 07:56:16.824713
APOLSINHOT,Unknown,2026-02-19 07:56:16.824790
APTECHT,IT,2026-02-19 07:56:16.824870
APTUS,Finance,2026-02-19 07:56:16.824949
ARCHIDPLY,Unknown,2026-02-19 07:56:16.825012
ARCHIES,Unknown,2026-02-19 07:56:16.825079
ARE&M,Energy,2026-02-19 07:56:16.825140
ARENTERP,Unknown,2026-02-19 07:56:16.825191
ARFIN,Unknown,2026-02-19 07:56:16.825269
ARIES,Unknown,2026-02-19 07:56:16.825312
ARIHANTCAP,Unknown,2026-02-19 07:56:16.825354
ARIHANTSUP,Unknown,2026-02-19 07:56:16.825394
ARIS,Unknown,2026-02-19 07:56:16.825431
ARKADE,Unknown,2026-02-19 07:56:16.825469
ARMANFIN,Unknown,2026-02-19 07:56:16.825506
AROGRANITE,Unknown,2026-02-19 07:56:16.825543
ARROWGREEN,IT,2026-02-19 07:56:16.825580
ARSSBL,Unknown,2026-02-19 07:56:16.825618
ARTEMISMED,Unknown,2026-02-19 07:56:16.825656
ARTNIRMAN,Unknown,2026-02-19 07:56:16.825693
ARVIND,Unknown,2026-02-19 07:56:16.825731
ARVINDFASN,Unknown,2026-02-19 07:56:16.825768
ARVSMART,Unknown,2026-02-19 07:56:16.825806
ASAHIINDIA,Unknown,2026-02-19 07:56:16.825843
ASAHISONG,Unknown,2026-02-19 07:56:16.825880
ASAL,Automobile,2026-02-19 07:56:16.825918
ASALCBR,Unknown,2026-02-19 07:56:16.825955
ASHAPURMIN,Unknown,2026-02-19 07:56:16.825993
ASHIANA,Unknown,2026-02-19 07:56:16.826030
ASHIMASYN,Unknown,2026-02-19 07:56:16.826068
ASHOKA,Unknown,2026-02-19 07:56:16.826105
ASHOKAMET,Unknown,2026-02-19 07:56:16.826142
ASHOKLEY,Unknown,2026-02-19 07:56:16.826180
ASIANENE,Energy,2026-02-19 07:56:16.826243
ASIANHOTNR,Unknown,2026-02-19 07:56:16.826287
ASIANPAINT,Unknown,2026-02-19 07:56:16.826326
ASIANTILES,Unknown,2026-02-19 07:56:16.826365
ASKAUTOLTD,Automobile,2026-02-19 07:56:16.826404
ASMS,Unknown,2026-02-19 07:56:16.826441
ASPINWALL,Unknown,2026-02-19 07:56:16.826480
ASTEC,Unknown,2026-02-19 07:56:16.826518
ASTERDM,Unknown,2026-02-19 07:56:16.826557
ASTRAL,Unknown,2026-02-19 07:56:16.826595
ASTRAMICRO,Unknown,2026-02-19 07:56:16.826632
ASTRAZEN,Pharma,2026-02-19 07:56:16.826669
ASTRON,Unknown,2026-02-19 07:56:16.826707
ATALREAL,IT,2026-02-19 07:56:16.826744
ATAM,Unknown,2026-02-19 07:56:16.826782
ATGL,Energy,2026-02-19 07:56:16.826821
ATHERENERG,Energy,2026-02-19 07:56:16.826858
ATL,Unknown,2026-02-19 07:56:16.826895
ATLANTAA,Unknown,2026-02-19 07:56:16.826932
ATLANTAELE,Unknown,2026-02-19 07:56:16.826970
ATLASCYCLE,Unknown,2026-02-19 07:56:16.827007
ATUL,Unknown,2026-02-19 07:56:16.827043
ATULAUTO,Automobile,2026-02-19 07:56:16.827080
AUBANK,Finance,2026-02-19 07:56:16.827116
AURIONPRO,Unknown,2026-02-19 07:56:16.827153
AUROPHARMA,Pharma,2026-02-19 07:56:16.827189
AURUM,IT,2026-02-19 07:56:16.827247
AUTOAXLES,Automobile,2026-02-19 07:56:16.827287
AUTOIND,Automobile,2026-02-19 07:56:16.827325
AVADHSUGAR,Energy,2026-02-19 07:56:16.827363
AVALON,IT,2026-02-19 07:56:16.827405
AVANTEL,Unknown,2026-02-19 07:56:16.827444
AVANTIFEED,Unknown,2026-02-19 07:56:16.827490
AVG,Unknown,2026-02-19 07:56:16.827529
AVL,Unknown,2026-02-19 07:56:16.827566
AVONMORE,Unknown,2026-02-19 07:56:16.827604
AVTNPL,Unknown,2026-02-19 07:56:16.827641
AWFIS,Unknown,2026-02-19 07:56:16.827684
AWHCL,Unknown,2026-02-19 07:56:16.827723
AWL,Unknown,2026-02-19 07:56:16.827762
AXISBANK,Finance,2026-02-19 07:56:16.827798
AXISCADES,IT,2026-02-19 07:56:16.827836
AYE,Finance,2026-02-19 07:56:16.827873
AYMSYNTEX,Unknown,2026-02-19 07:56:16.827911
AZAD,Unknown,2026-02-19 07:56:16.827949
BAGFILMS,Unknown,2026-02-19 07:56:16.827987
BAIDFIN,Unknown,2026-02-19 07:56:16.828024
BAJAJ-AUTO,Automobile,2026-02-19 07:56:16.828061
BAJAJCON,Unknown,2026-02-19 07:56:16.828099
BAJAJELEC,Unknown,2026-02-19 07:56:16.828137
BAJAJFINSV,Unknown,2026-02-19 07:56:16.828174
BAJAJHCARE,Unknown,2026-02-19 07:56:16.828229
BAJAJHFL,Finance,2026-02-19 07:56:16.828272
BAJAJHIND,Unknown,2026-02-19 07:56:16.828311
BAJAJHLDNG,Unknown,2026-02-19 07:56:16.828349
BAJAJINDEF,Unknown,2026-02-19 07:56:16.828387
BAJEL,Unknown,2026-02-19 07:56:16.828424
BAJFINANCE,Finance,2026-02-19 07:56:16.828461
BALAJEE,Unknown,2026-02-19 07:56:16.828499
BALAJITELE,Unknown,2026-02-19 07:56:16.828536
BALAMINES,Unknown,2026-02-19 07:56:16.828583
BALAXI,Pharma,2026-02-19 07:56:16.828620
BALKRISHNA,Unknown,2026-02-19 07:56:16.828658
BALKRISIND,Unknown,2026-02-19 07:56:16.828696
BALMLAWRIE,Unknown,2026-02-19 07:56:16.828741
BALPHARMA,Pharma,2026-02-19 07:56:16.828781
BALRAMCHIN,Unknown,2026-02-19 07:56:16.828820
BALUFORGE,Unknown,2026-02-19 07:56:16.828858
BANARBEADS,Unknown,2026-02-19 07:56:16.828896
BANARISUG,Unknown,2026-02-19 07:56:16.828934
BANCOINDIA,Unknown,2026-02-19 07:56:16.828972
BANDHANBNK,Finance,2026-02-19 07:56:16.829010
BANG,Unknown,2026-02-19 07:56:16.829048
BANKA,Finance,2026-02-19 07:56:16.829085
BANKBARODA,Finance,2026-02-19 07:56:16.829123
BANKINDIA,Finance,2026-02-19 07:56:16.829163
BANSALWIRE,Unknown,2026-02-19 07:56:16.829227
BANSWRAS,Unknown,2026-02-19 07:56:16.829279
BASF,Unknown,2026-02-19 07:56:16.829321
BASML,Unknown,2026-02-19 07:56:16.829362
BATAINDIA,Unknown,2026-02-19 07:56:16.829401
BAYERCROP,Unknown,2026-02-19 07:56:16.829439
BBL,Unknown,2026-02-19 07:56:16.829477
BBOX,Unknown,2026-02-19 07:56:16.829516
BBTC,Unknown,2026-02-19 07:56:16.829554
BBTCL,Unknown,2026-02-19 07:56:16.829593
BCG,Unknown,2026-02-19 07:56:16.829631
BCLIND,Unknown,2026-02-19 07:56:16.829669
BCONCEPTS,Unknown,2026-02-19 07:56:16.829707
BDL,Unknown,2026-02-19 07:56:16.829745
BEARDSELL,Unknown,2026-02-19 07:56:16.829783
BECTORFOOD,Unknown,2026-02-19 07:56:16.829821
BEDMUTHA,Unknown,2026-02-19 07:56:16.829858
BEL,Unknown,2026-02-19 07:56:16.829896
BELLACASA,Unknown,2026-02-19 07:56:16.829940
BELRISE,Unknown,2026-02-19 07:56:16.829979
BEML,Unknown,2026-02-19 07:56:16.830021
BEPL,Unknown,2026-02-19 07:56:16.830060
BERGEPAINT,Unknown,2026-02-19 07:56:16.830098
BETA,Unknown,2026-02-19 07:56:16.830134
BFINVEST,Unknown,2026-02-19 07:56:16.830172
BGRENERGY,Energy,2026-02-19 07:56:16.830227
BHAGCHEM,Unknown,2026-02-19 07:56:16.830271
BHAGERIA,Unknown,2026-02-19 07:56:16.830309
BHANDARI,Unknown,2026-02-19 07:56:16.830346
BHARATCOAL,Unknown,2026-02-19 07:56:16.830382
BHARATFORG,Unknown,2026-02-19 07:56:16.830419
BHARATGEAR,Unknown,2026-02-19 07:56:16.830456
BHARATRAS,Unknown,2026-02-19 07:56:16.830493
BHARATSE,Unknown,2026-02-19 07:56:16.830529
BHARATWIRE,Unknown,2026-02-19 07:56:16.830566
BHARTIARTL,Unknown,2026-02-19 07:56:16.830602
BHARTIHEXA,Unknown,2026-02-19 07:56:16.830639
BHEL,Unknown,2026-02-19 07:56:16.830676
BIGBLOC,Unknown,2026-02-19 07:56:16.830713
BIKAJI,Unknown,2026-02-19 07:56:16.830750
BIL,Unknown,2026-02-19 07:56:16.830787
BIOCON,Pharma,2026-02-19 07:56:16.830824
BIOFILCHEM,Pharma,2026-02-19 07:56:16.830861
BIRLACABLE,Unknown,2026-02-19 07:56:16.830898
BIRLACORPN,Unknown,2026-02-19 07:56:16.830935
BIRLAMONEY,Unknown,2026-02-19 07:56:16.830972
BIRLANU,Unknown,2026-02-19 07:56:16.831015
