Price,Close,High,Low,Open,Volume,pct_change,volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,
Date,,,,,,,
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100,,
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700,0.005680474234370125,
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900,0.001367835124523431,
2025-07-31,24768.349609375,24956.5,24635.0,24642.25,346300,-0.0034882717656889994,
2025-08-01,24565.349609375,24784.150390625,24535.05078125,24734.900390625,263400,-0.008195943742782208,
2025-08-04,24722.75,24736.25,24554.0,24596.05078125,259300,0.006407415043054421,0.006202975354283689
2025-08-05,24649.55078125,24733.099609375,24590.30078125,24720.25,251800,-0.0029608040671041946,0.0055135081524371335
2025-08-06,24574.19921875,24671.400390625,24539.19921875,24641.349609375,225100,-0.003056914228121266,0.005314940164176004
2025-08-07,24596.150390625,24634.19921875,24344.150390625,24464.19921875,616700,0.0008932609229541644,0.005421706061767554
2025-08-08,24363.30078125,24585.5,24337.5,24544.25,312600,-0.009466912735407229,0.005835044570784491
2025-08-11,24585.05078125,24600.849609375,24347.44921875,24371.5,241100,0.009101804471857822,0.006807114212500364
2025-08-12,24487.400390625,24702.599609375,24465.650390625,24563.349609375,237000,-0.003971941790719136,0.006890798462691014
2025-08-13,24619.349609375,24664.55078125,24535.25,24586.19921875,236000,0.005388453516712133,0.007370865034656468
2025-08-14,24631.30078125,24673.650390625,24596.900390625,24607.25,270200,0.00048543816407109475,0.007366143971721469
2025-08-18,24876.94921875,25022.0,24852.849609375,24938.19921875,363100,0.009973019276634965,0.005902252849149592
2025-08-19,24980.650390625,25012.650390625,24873.94921875,24891.349609375,252300,0.004168564680625764,0.005253723737226934
2025-08-20,25050.55078125,25088.69921875,24929.69921875,24965.80078125,287100,0.0027981813736617234,0.0035300975996406646
