symbol,company_name,series,date of listing,paid up value,market lot,isin number,face value,ingestion_time
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,2026-02-18 17:27:57.692675
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2,1,INE0GV601021,2,2026-02-18 17:27:57.692675
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1,2026-02-18 17:27:57.692675
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,2026-02-18 17:27:57.692675
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,2026-02-18 17:27:57.692675
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,2026-02-18 17:27:57.692675
AMAGI,Amagi Media Labs Limited,EQ,21-JAN-2026,5,1,INE121R01077,5,2026-02-18 17:27:57.692675
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,10,1,INE084K01015,10,2026-02-18 17:27:57.692675
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,2026-02-18 17:27:57.692675
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,2026-02-18 17:27:57.692675
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,2026-02-18 17:27:57.692675
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,2026-02-18 17:27:57.692675
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,2026-02-18 17:27:57.692675
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,2026-02-18 17:27:57.692675
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2,2026-02-18 17:27:57.692675
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,2026-02-18 17:27:57.692675
